"strain","freq","mic","n","dose","run"
"b2",17277364359786.7,10,2,15,4
"b1",608942432314.488,1,2,15,5
"b2",17267088391913.3,10,2,15,5
"b1",613470629210.176,1,2,15,6
"b2",17259580177109.4,10,2,15,6
"b1",611958655280.893,1,2,15,7
"b2",17262082838683.6,10,2,15,7
"b1",624183851715.819,1,2,15,8
"b2",17241985665731.4,10,2,15,8
"b1",611603398548.059,1,2,15,9
"b2",17262671518963.9,10,2,15,9
"b1",637548707675.429,1,2,15,10
"b2",17220382588558.7,10,2,15,10
"b1",559865485797.292,1,2,16,1
"b2",17242860992049.3,10,2,16,1
"b1",552860836802.798,1,2,16,2
"b2",17255309592573.8,10,2,16,2
"b1",529755530482.391,1,2,16,3
"b2",17295381700735.9,10,2,16,3
"b1",551004745495.951,1,2,16,4
"b2",17258591427454.3,10,2,16,4
"b1",551965428564.97,1,2,16,5
"b2",17256893877343.9,10,2,16,5
"b1",556114629301.077,1,2,16,6
"b2",17249537540849.1,10,2,16,6
"b1",568446120346.353,1,2,16,7
"b2",17227553952851.4,10,2,16,7
"b1",582575465842.495,1,2,16,8
"b2",17202546765478.3,10,2,16,8
"b1",563917130752.88,1,2,16,9
"b2",17235633735363.6,10,2,16,9
"b1",558962888571.624,1,2,16,10
"b2",17244469323656.4,10,2,16,10
"b1",500115525164.271,1,2,17,1
"b2",17241016930812.8,10,2,17,1
"b1",495081291640.552,1,2,17,2
"b2",17249856536440.4,10,2,17,2
"b1",517106513022.404,1,2,17,3
"b2",17210263191374.8,10,2,17,3
"b1",502500045505.648,1,2,17,4
"b2",17236790839680.6,10,2,17,4
"b1",508361831817.763,1,2,17,5
"b2",17226281997362.2,10,2,17,5
"b1",496117667185.156,1,2,17,6
"b2",17248045301356.4,10,2,17,6
"b1",504459519395.241,1,2,17,7
"b2",17233297510703.9,10,2,17,7
"b1",500252045440.463,1,2,17,8
"b2",17240775690256.2,10,2,17,8
"b1",509235919645.808,1,2,17,9
"b2",17224699514937.6,10,2,17,9
"b1",492452067771.657,1,2,17,10
"b2",17254433559039.5,10,2,17,10
"b1",432353002592.64,1,2,18,1
"b2",17254444108996.2,10,2,18,1
"b1",445317550419.516,1,2,18,2
"b2",17231359649847.6,10,2,18,2
"b1",432367822289.665,1,2,18,3
"b2",17254417492490.6,10,2,18,3
"b1",443195082601.601,1,2,18,4
"b2",17235121353254,10,2,18,4
"b1",442330567214.935,1,2,18,5
"b2",17236654495434.2,10,2,18,5
"b1",440393482061.861,1,2,18,6
"b2",17240092789098.9,10,2,18,6
"b1",427195523729.806,1,2,18,7
"b2",17263758093306.1,10,2,18,7
"b1",440339600545.253,1,2,18,8
"b2",17240188500038.9,10,2,18,8
"b1",433901729557.49,1,2,18,9
"b2",17251666464478.6,10,2,18,9
"b1",438958092207.988,1,2,18,10
"b2",17242644112770.5,10,2,18,10
"b1",385989637553.635,1,2,19,1
"b2",17235063180319.1,10,2,19,1
"b1",392368027078.752,1,2,19,2
"b2",17222199627351.1,10,2,19,2
"b1",396755818269.579,1,2,19,3
"b2",17213584330425.3,10,2,19,3
"b1",392361084469,1,2,19,4
"b2",17222213400403.5,10,2,19,4
"b1",383061154138.341,1,2,19,5
"b2",17241121272267.3,10,2,19,5
"b1",390066417404.258,1,2,19,6
"b2",17226791716273.5,10,2,19,6
"b1",378081547997.643,1,2,19,7
"b2",17251656344687.5,10,2,19,7
"b1",407837001470.826,1,2,19,8
"b2",17192462467124.7,10,2,19,8
"b1",385591306407.146,1,2,19,9
"b2",17235881326587.1,10,2,19,9
"b1",418082887418.791,1,2,19,10
"b2",17173413380510.8,10,2,19,10
"b1",341356527525.446,1,2,20,1
"b2",17221489816009.9,10,2,20,1
"b1",353198069683.941,1,2,20,2
"b2",17192779981177.7,10,2,20,2
"b1",348441817238.93,1,2,20,3
"b2",17204093574476.4,10,2,20,3
"b1",338423959868.189,1,2,20,4
"b2",17228765318322.4,10,2,20,4
"b1",354851883801.794,1,2,20,5
"b2",17188936510579.2,10,2,20,5
"b1",350036507131.819,1,2,20,6
"b2",17200259518764.8,10,2,20,6
"b1",339420004076.838,1,2,20,7
"b2",17226295092172.7,10,2,20,7
"b1",336030567002.622,1,2,20,8
"b2",17234682109866.6,10,2,20,8
"b1",346763253782.259,1,2,20,9
"b2",17208168534026.8,10,2,20,9
"b1",347311197385.342,1,2,20,10
"b2",17206834218650.8,10,2,20,10
"b1",306011853991.006,1,2,21,1
"b2",17192874290820.8,10,2,21,1
"b1",297412087019.015,1,2,21,2
"b2",17214148130168.8,10,2,21,2
"b1",309750699636.883,1,2,21,3
"b2",17182994054130.2,10,2,21,3
"b1",320044971396.602,1,2,21,4
"b2",17154700002796.7,10,2,21,4
"b1",310267526615.727,1,2,21,5
"b2",17181601834206.9,10,2,21,5
"b1",305773577375.325,1,2,21,6
"b2",17193491514444.7,10,2,21,6
"b1",308607217254.68,1,2,21,7
"b2",17186052948553.1,10,2,21,7
"b1",315909595961.328,1,2,21,8
"b2",17166126038396.5,10,2,21,8
"b1",320735434480.117,1,2,21,9
"b2",17152806718056.8,10,2,21,9
"b1",308235210754.634,1,2,21,10
"b2",17187041359568.1,10,2,21,10
"b1",281119540261.922,1,2,22,1
"b2",17138047830153.8,10,2,22,1
"b1",275644859980.803,1,2,22,2
"b2",17152789413755.4,10,2,22,2
"b1",283909093543.207,1,2,22,3
"b2",17130049288305.9,10,2,22,3
"b1",268407643189.957,1,2,22,4
"b2",17170633925164.9,10,2,22,4
"b1",267561270279.94,1,2,22,5
"b2",17172625349335.1,10,2,22,5
"b1",266522761850.271,1,2,22,6
"b2",17175046638226.9,10,2,22,6
"b1",274467504675.352,1,2,22,7
"b2",17155806510635.7,10,2,22,7
"b1",267671997246.203,1,2,22,8
"b2",17172365769816.6,10,2,22,8
"b1",280123515813.347,1,2,22,9
"b2",17140822552479.5,10,2,22,9
"b1",269993758230.004,1,2,22,10
"b2",17166854507416.3,10,2,22,10
"b1",227568611152.352,1,2,23,1
"b2",17154391610176.7,10,2,23,1
"b1",230211414995.055,1,2,23,2
"b2",17148352834743.5,10,2,23,2
"b1",232172867395.515,1,2,23,3
"b2",17143856342962.4,10,2,23,3
"b1",238887304940.825,1,2,23,4
"b2",17128207963252,10,2,23,4
"b1",236751367851.236,1,2,23,5
"b2",17133245662111.6,10,2,23,5
"b1",231754204005.175,1,2,23,6
"b2",17144817777335.6,10,2,23,6
"b1",217930523992.671,1,2,23,7
"b2",17176607558157.8,10,2,23,7
"b1",225504267466.41,1,2,23,8
"b2",17159107746586.8,10,2,23,8
"b1",237576341609.68,1,2,23,9
"b2",17131308179204.8,10,2,23,9
"b1",232801209166.826,1,2,23,10
"b2",17142411278753.3,10,2,23,10
"b1",205728476013.135,1,2,24,1
"b2",17094896031734.7,10,2,24,1
"b1",213786889301.474,1,2,24,2
"b2",17074986195988.2,10,2,24,2
"b1",199277261182.258,1,2,24,3
"b2",17110830473835.9,10,2,24,3
"b1",203006209172.143,1,2,24,4
"b2",17101583767504,10,2,24,4
"b1",211603582590.89,1,2,24,5
"b2",17080435354934.1,10,2,24,5
"b1",220043928261.463,1,2,24,6
"b2",17058839573097.4,10,2,24,6
"b1",195974630539.936,1,2,24,7
"b2",17119181908936,10,2,24,7
"b1",193164870216.117,1,2,24,8
"b2",17126471899472.6,10,2,24,8
"b1",193148048536.218,1,2,24,9
"b2",17126516180038.9,10,2,24,9
"b1",200408750851.117,1,2,24,10
"b2",17108008911360.9,10,2,24,10
"b1",166975989224.872,1,2,25,1
"b2",17082048154197.4,10,2,25,1
"b1",181939474599.671,1,2,25,2
"b2",17039306820409.8,10,2,25,2
"b1",175550101270.947,1,2,25,3
"b2",17056674435565.2,10,2,25,3
"b1",170873511342.661,1,2,25,4
"b2",17070073925931.7,10,2,25,4
"b1",161776841211.126,1,2,25,5
"b2",17099859917039.9,10,2,25,5
"b1",167404028996.337,1,2,25,6
"b2",17080685862825.9,10,2,25,6
"b1",167397516551.754,1,2,25,7
"b2",17080706491305.2,10,2,25,7
"b1",165694757786.601,1,2,25,8
"b2",17086208575658.3,10,2,25,8
"b1",164206037409.811,1,2,25,9
"b2",17091216021780.1,10,2,25,9
"b1",172057615578.788,1,2,25,10
"b2",17066599283254.6,10,2,25,10
"b1",155096088376.568,1,2,26,1
"b2",16992595578719.6,10,2,26,1
"b1",143065464283.812,1,2,26,2
"b2",17033969231651.3,10,2,26,2
"b1",136982175802.721,1,2,26,3
"b2",17062514030932.3,10,2,26,3
"b1",142745686688.978,1,2,26,4
"b2",17035280797521.4,10,2,26,4
"b1",148841883781.058,1,2,26,5
"b2",17012613555452.3,10,2,26,5
"b1",148472669118.128,1,2,26,6
"b2",17013873470420.3,10,2,26,6
"b1",143439835387.371,1,2,26,7
"b2",17032454836348.7,10,2,26,7
"b1",136682272054.64,1,2,26,8
"b2",17064149929348.3,10,2,26,8
"b1",144248891085.207,1,2,26,9
"b2",17029255350797.9,10,2,26,9
"b1",144689979136.966,1,2,26,10
"b2",17027550607407.2,10,2,26,10
"b1",118137707445.136,1,2,27,1
"b2",16998406085206.8,10,2,27,1
"b1",114798371910.039,1,2,27,2
"b2",17021955701977.3,10,2,27,2
"b1",117433686992.377,1,2,27,3
"b2",17003014039632.8,10,2,27,3
"b1",118271499646.28,1,2,27,4
"b2",16997554635080.2,10,2,27,4
"b1",117679740596.626,1,2,27,5
"b2",17001379177842.2,10,2,27,5
"b1",116045033383.732,1,2,27,6
"b2",17012709564992.8,10,2,27,6
"b1",115988117111.376,1,2,27,7
"b2",17013122479403,10,2,27,7
"b1",117943066387.812,1,2,27,8
"b2",16999658576544,10,2,27,8
"b1",117055592321.099,1,2,27,9
"b2",17005576734968.9,10,2,27,9
"b1",117110516953.181,1,2,27,10
"b2",17005200704541.6,10,2,27,10
"b1",100044379541.534,1,2,28,1
"b2",16926767949387.5,10,2,28,1
"b1",96931210907.772,1,2,28,2
"b2",16951700210969.9,10,2,28,2
"b1",95603402940.0244,1,2,28,3
"b2",16964188860973.2,10,2,28,3
"b1",94952717604.5585,1,2,28,4
"b2",16970425136800.2,10,2,28,4
"b1",95606318896.4606,1,2,28,5
"b2",16964160892505.3,10,2,28,5
"b1",92939577719.4384,1,2,28,6
"b2",16988615707919.8,10,2,28,6
"b1",95744266382.9756,1,2,28,7
"b2",16962838590735.4,10,2,28,7
"b1",92161937067.0027,1,2,28,8
"b2",16994869779213,10,2,28,8
"b1",93000394933.0059,1,2,28,9
"b2",16988106495771.3,10,2,28,9
"b1",97616491162.0823,1,2,28,10
"b2",16945615293451.5,10,2,28,10
"b1",73923375691.2081,1,2,29,1
"b2",16935887628500.5,10,2,29,1
"b1",75036149311.3629,1,2,29,2
"b2",16924339814244.2,10,2,29,2
"b1",78274824561.3584,1,2,29,3
"b2",16885614414946.3,10,2,29,3
"b1",74216512287.3306,1,2,29,4
"b2",16933011303073.6,10,2,29,4
"b1",74327231918.3246,1,2,29,5
"b2",16931894333232.5,10,2,29,5
"b1",71513006664.2089,1,2,29,6
"b2",16955750969110.9,10,2,29,6
"b1",75103759053.136,1,2,29,7
"b2",16923583532511.4,10,2,29,7
"b1",74520150995.777,1,2,29,8
"b2",16929907483001.4,10,2,29,8
"b1",71824756321.0131,1,2,29,9
"b2",16953498048352.2,10,2,29,9
"b1",74237020694.2527,1,2,29,10
"b2",16932805689271.4,10,2,29,10
"b1",56124867221.3096,1,2,30,1
"b2",16866158290247.3,10,2,30,1
"b1",54838789376.4976,1,2,30,2
"b2",16882459987937.9,10,2,30,2
"b1",54448543900.5113,1,2,30,3
"b2",16886674393277.8,10,2,30,3
"b1",54817566925.4316,1,2,30,4
"b2",16882696932832.5,10,2,30,4
"b1",54622344024.0716,1,2,30,5
"b2",16884833946747,10,2,30,5
"b1",55868787071.5747,1,2,30,6
"b2",16869730300478.1,10,2,30,6
"b1",56030157514.2308,1,2,30,7
"b2",16867498967100.7,10,2,30,7
"b1",53828798311.1176,1,2,30,8
"b2",16892811293980.6,10,2,30,8
"b1",56456970519.3073,1,2,30,9
"b2",16861279730915.2,10,2,30,9
"b1",53836152905.8792,1,2,30,10
"b2",16892742032327.1,10,2,30,10
"b1",31774378970.5866,1,2,31,1
"b2",16849690152571.5,10,2,31,1
"b1",31793419243.1577,1,2,31,2
"b2",16849498464119.5,10,2,31,2
"b1",33091664999.2818,1,2,31,3
"b2",16834854745476.6,10,2,31,3
"b1",33812691047.661,1,2,31,4
"b2",16824823963527.7,10,2,31,4
"b1",34713180199.6184,1,2,31,5
"b2",16809261974510.9,10,2,31,5
"b1",32361046340.8087,1,2,31,6
"b2",16843514183499.5,10,2,31,6
"b1",33312248110.6234,1,2,31,7
"b2",16831968595216.1,10,2,31,7
"b1",33494664890.9978,1,2,31,8
"b2",16829466871442.3,10,2,31,8
"b1",32716908414.9022,1,2,31,9
"b2",16839452222568.6,10,2,31,9
"b1",34618764474.05,1,2,31,10
"b2",16811085780836.6,10,2,31,10
"b1",19472928.7577833,1,2,32,1
"b2",16811232097090.6,10,2,32,1
"b1",20234234.677662,1,2,32,2
"b2",16805156152962.5,10,2,32,2
"b1",20186020.1999863,1,2,32,3
"b2",16805551742405.9,10,2,32,3
"b1",18591992.4600833,1,2,32,4
"b2",16817905504363,10,2,32,4
"b1",20921901.872504,1,2,32,5
"b2",16799317696581.9,10,2,32,5
"b1",19307682.1524828,1,2,32,6
"b2",16812508778586,10,2,32,6
"b1",19172697.6951924,1,2,32,7
"b2",16813542262067.5,10,2,32,7
"b1",20307368.9076013,1,2,32,8
"b2",16804552935323.7,10,2,32,8
"b1",18073665.8014436,1,2,32,9
"b2",16821710615465.6,10,2,32,9
"b1",20911078.5185857,1,2,32,10
"b2",16799412875629.8,10,2,32,10
"b1",0,1,2,33,1
"b2",16791204719118.7,10,2,33,1
"b1",0,1,2,33,2
"b2",16793316925318.4,10,2,33,2
"b1",0,1,2,33,3
"b2",16790841717689.4,10,2,33,3
"b1",0,1,2,33,4
"b2",16791520594231.3,10,2,33,4
"b1",0,1,2,33,5
"b2",16789442517050.7,10,2,33,5
"b1",0,1,2,33,6
"b2",16792226378045.5,10,2,33,6
"b1",0,1,2,33,7
"b2",16791497891802.1,10,2,33,7
"b1",0,1,2,33,8
"b2",16793349123879.8,10,2,33,8
"b1",0,1,2,33,9
"b2",16790471049601.9,10,2,33,9
"b1",0,1,2,33,10
"b2",16794236820341.3,10,2,33,10
