"strain","freq","mic","n","dose","run"
"b1",0,1,7,39,4
"b2",209184114532.689,1.46779926762207,7,39,4
"b3",891584539842.374,2.15443469003188,7,39,4
"b4",1746428971022.58,3.16227766016838,7,39,4
"b5",2810996784310.56,4.64158883361278,7,39,4
"b6",4345346404801.81,6.81292069057961,7,39,4
"b7",3082648765084.39,10,7,39,4
"b1",0,1,7,39,5
"b2",199329621042.054,1.46779926762207,7,39,5
"b3",761248907777.308,2.15443469003188,7,39,5
"b4",1664661624083.75,3.16227766016838,7,39,5
"b5",2870361161549.43,4.64158883361278,7,39,5
"b6",4310392915352.38,6.81292069057961,7,39,5
"b7",3445373446878.81,10,7,39,5
"b1",0,1,7,39,6
"b2",219562907739.919,1.46779926762207,7,39,6
"b3",830066533323.543,2.15443469003188,7,39,6
"b4",1732856769418.64,3.16227766016838,7,39,6
"b5",2729118828579.21,4.64158883361278,7,39,6
"b6",4430895518028.37,6.81292069057961,7,39,6
"b7",3166263791619.31,10,7,39,6
"b1",0,1,7,39,7
"b2",235110058697.637,1.46779926762207,7,39,7
"b3",835366909483.863,2.15443469003188,7,39,7
"b4",1659477713079.43,3.16227766016838,7,39,7
"b5",2893932404194.65,4.64158883361278,7,39,7
"b6",3876177322790.95,6.81292069057961,7,39,7
"b7",3579212088257.68,10,7,39,7
"b1",0,1,7,39,8
"b2",224398119959.577,1.46779926762207,7,39,8
"b3",827969707485.786,2.15443469003188,7,39,8
"b4",1695509635153.3,3.16227766016838,7,39,8
"b5",2634770831765.68,4.64158883361278,7,39,8
"b6",4093399853902.52,6.81292069057961,7,39,8
"b7",3664909793202.7,10,7,39,8
"b1",0,1,7,39,9
"b2",236791744170.945,1.46779926762207,7,39,9
"b3",865475009297.49,2.15443469003188,7,39,9
"b4",1624332009988.13,3.16227766016838,7,39,9
"b5",2857719289613.73,4.64158883361278,7,39,9
"b6",4352275704861.51,6.81292069057961,7,39,9
"b7",3106973999148.26,10,7,39,9
"b1",0,1,7,39,10
"b2",232020626875.909,1.46779926762207,7,39,10
"b3",846030888718.831,2.15443469003188,7,39,10
"b4",1613747093214.72,3.16227766016838,7,39,10
"b5",2792250748978.5,4.64158883361278,7,39,10
"b6",4259695525010.87,6.81292069057961,7,39,10
"b7",3344521916045.79,10,7,39,10
"b1",0,1,7,40,1
"b2",191097098108.136,1.46779926762207,7,40,1
"b3",800625862428.602,2.15443469003188,7,40,1
"b4",1634079673962.88,3.16227766016838,7,40,1
"b5",2840417537501.49,4.64158883361278,7,40,1
"b6",4248390177287.36,6.81292069057961,7,40,1
"b7",3209259320022.79,10,7,40,1
"b1",0,1,7,40,2
"b2",189956599979.141,1.46779926762207,7,40,2
"b3",776350658457.177,2.15443469003188,7,40,2
"b4",1549482391815.48,3.16227766016838,7,40,2
"b5",2633316437914.11,4.64158883361278,7,40,2
"b6",4367785046975.07,6.81292069057961,7,40,2
"b7",3489413786332.29,10,7,40,2
"b1",0,1,7,40,3
"b2",199723863626.5,1.46779926762207,7,40,3
"b3",814745944296.962,2.15443469003188,7,40,3
"b4",1470637995801.5,3.16227766016838,7,40,3
"b5",2766744109642.7,4.64158883361278,7,40,3
"b6",4192766987117.78,6.81292069057961,7,40,3
"b7",3526483100512.41,10,7,40,3
"b1",0,1,7,40,4
"b2",184693795704.834,1.46779926762207,7,40,4
"b3",735082099450.377,2.15443469003188,7,40,4
"b4",1618156468505.28,3.16227766016838,7,40,4
"b5",2741393678435.64,4.64158883361278,7,40,4
"b6",4386608030387.92,6.81292069057961,7,40,4
"b7",3349716250754.33,10,7,40,4
"b1",0,1,7,40,5
"b2",189069544589.3,1.46779926762207,7,40,5
"b3",794320489561.253,2.15443469003188,7,40,5
"b4",1647805021387.57,3.16227766016838,7,40,5
"b5",2543762356078.46,4.64158883361278,7,40,5
"b6",4151880215326.41,6.81292069057961,7,40,5
"b7",3668327824893.24,10,7,40,5
"b1",0,1,7,40,6
"b2",194985193636.503,1.46779926762207,7,40,6
"b3",793081471502,2.15443469003188,7,40,6
"b4",1655717572727.22,3.16227766016838,7,40,6
"b5",2601615954525.44,4.64158883361278,7,40,6
"b6",4056959866497.36,6.81292069057961,7,40,6
"b7",3657121529337.77,10,7,40,6
"b1",0,1,7,40,7
"b2",138391398470.837,1.46779926762207,7,40,7
"b3",801582037988.134,2.15443469003188,7,40,7
"b4",1601323079892.31,3.16227766016838,7,40,7
"b5",2834769087761.93,4.64158883361278,7,40,7
"b6",4194187264872.63,6.81292069057961,7,40,7
"b7",3569473781878.14,10,7,40,7
"b1",0,1,7,40,8
"b2",190877169268.374,1.46779926762207,7,40,8
"b3",753397467451.82,2.15443469003188,7,40,8
"b4",1659879739706.68,3.16227766016838,7,40,8
"b5",2638174879258.45,4.64158883361278,7,40,8
"b6",4173976204208.71,6.81292069057961,7,40,8
"b7",3571618661179.24,10,7,40,8
"b1",0,1,7,40,9
"b2",184805249536.391,1.46779926762207,7,40,9
"b3",789207984662.502,2.15443469003188,7,40,9
"b4",1562849660577.75,3.16227766016838,7,40,9
"b5",2790127016950.41,4.64158883361278,7,40,9
"b6",4225212840648.36,6.81292069057961,7,40,9
"b7",3441646198472.16,10,7,40,9
"b1",0,1,7,40,10
"b2",186953838452.12,1.46779926762207,7,40,10
"b3",768770930385.59,2.15443469003188,7,40,10
"b4",1508692956375.74,3.16227766016838,7,40,10
"b5",2689874347549.88,4.64158883361278,7,40,10
"b6",4086772711220.35,6.81292069057961,7,40,10
"b7",3812374107993.43,10,7,40,10
"b1",19245864882524.4,1,8,0,1
"b2",40585552.5792818,1.38949549437314,8,0,1
"b3",0,1.93069772888325,8,0,1
"b4",0,2.68269579527973,8,0,1
"b5",0,3.72759372031494,8,0,1
"b6",0,5.17947467923121,8,0,1
"b7",0,7.19685673001152,8,0,1
"b8",0,10,8,0,1
"b1",19245880321825.2,1,8,0,2
"b2",25148895.2942158,1.38949549437314,8,0,2
"b3",0,1.93069772888325,8,0,2
"b4",0,2.68269579527973,8,0,2
"b5",0,3.72759372031494,8,0,2
"b6",0,5.17947467923121,8,0,2
"b7",0,7.19685673001152,8,0,2
"b8",0,10,8,0,2
"b1",19245881411305.9,1,8,0,3
"b2",24059535.2429306,1.38949549437314,8,0,3
"b3",0,1.93069772888325,8,0,3
"b4",0,2.68269579527973,8,0,3
"b5",0,3.72759372031494,8,0,3
"b6",0,5.17947467923121,8,0,3
"b7",0,7.19685673001152,8,0,3
"b8",0,10,8,0,3
"b1",19245881013711.9,1,8,0,4
"b2",24457086.8367971,1.38949549437314,8,0,4
"b3",0,1.93069772888325,8,0,4
"b4",0,2.68269579527973,8,0,4
"b5",0,3.72759372031494,8,0,4
"b6",0,5.17947467923121,8,0,4
"b7",0,7.19685673001152,8,0,4
"b8",0,10,8,0,4
"b1",19245883445037.9,1,8,0,5
"b2",22026199.9797715,1.38949549437314,8,0,5
"b3",0,1.93069772888325,8,0,5
"b4",0,2.68269579527973,8,0,5
"b5",0,3.72759372031494,8,0,5
"b6",0,5.17947467923121,8,0,5
"b7",0,7.19685673001152,8,0,5
"b8",0,10,8,0,5
"b1",19245880358508.4,1,8,0,6
"b2",25112248.4209906,1.38949549437314,8,0,6
"b3",0,1.93069772888325,8,0,6
"b4",0,2.68269579527973,8,0,6
"b5",0,3.72759372031494,8,0,6
"b6",0,5.17947467923121,8,0,6
"b7",0,7.19685673001152,8,0,6
"b8",0,10,8,0,6
"b1",19245882921986.9,1,8,0,7
"b2",22549178.8314932,1.38949549437314,8,0,7
"b3",0,1.93069772888325,8,0,7
"b4",0,2.68269579527973,8,0,7
"b5",0,3.72759372031494,8,0,7
"b6",0,5.17947467923121,8,0,7
"b7",0,7.19685673001152,8,0,7
"b8",0,10,8,0,7
"b1",19245880616856.6,1,8,0,8
"b2",24853892.6650265,1.38949549437314,8,0,8
"b3",1,1.93069772888325,8,0,8
"b4",0,2.68269579527973,8,0,8
"b5",0,3.72759372031494,8,0,8
"b6",0,5.17947467923121,8,0,8
"b7",0,7.19685673001152,8,0,8
"b8",0,10,8,0,8
"b1",19245880098425.6,1,8,0,9
"b2",25374101.28563,1.38949549437314,8,0,9
"b3",0,1.93069772888325,8,0,9
"b4",0,2.68269579527973,8,0,9
"b5",0,3.72759372031494,8,0,9
"b6",0,5.17947467923121,8,0,9
"b7",0,7.19685673001152,8,0,9
"b8",0,10,8,0,9
"b1",19245882100439.5,1,8,0,10
"b2",23370614.4814253,1.38949549437314,8,0,10
"b3",0,1.93069772888325,8,0,10
"b4",0,2.68269579527973,8,0,10
"b5",0,3.72759372031494,8,0,10
"b6",0,5.17947467923121,8,0,10
"b7",0,7.19685673001152,8,0,10
"b8",0,10,8,0,10
"b1",18656392037400.3,1,8,1,1
"b2",2566025747.39614,1.38949549437314,8,1,1
"b3",24.050232594083,1.93069772888325,8,1,1
"b4",0,2.68269579527973,8,1,1
"b5",0,3.72759372031494,8,1,1
"b6",0,5.17947467923121,8,1,1
"b7",0,7.19685673001152,8,1,1
"b8",0,10,8,1,1
"b1",18656617085811.3,1,8,1,2
"b2",2337692249.65599,1.38949549437314,8,1,2
"b3",26.0395361162001,1.93069772888325,8,1,2
"b4",0,2.68269579527973,8,1,2
"b5",0,3.72759372031494,8,1,2
"b6",0,5.17947467923121,8,1,2
"b7",0,7.19685673001152,8,1,2
"b8",0,10,8,1,2
"b1",18656256396056.9,1,8,1,3
"b2",2703646921.45974,1.38949549437314,8,1,3
"b3",41.1395336006191,1.93069772888325,8,1,3
"b4",0,2.68269579527973,8,1,3
"b5",0,3.72759372031494,8,1,3
"b6",0,5.17947467923121,8,1,3
"b7",0,7.19685673001152,8,1,3
"b8",0,10,8,1,3
"b1",18656571300303.2,1,8,1,4
"b2",2384146623.35689,1.38949549437314,8,1,4
"b3",26.1349758903129,1.93069772888325,8,1,4
"b4",0,2.68269579527973,8,1,4
"b5",0,3.72759372031494,8,1,4
"b6",0,5.17947467923121,8,1,4
"b7",0,7.19685673001152,8,1,4
"b8",0,10,8,1,4
"b1",18655253990141.5,1,8,1,5
"b2",3720680928.90703,1.38949549437314,8,1,5
"b3",61.0232905627375,1.93069772888325,8,1,5
"b4",0,2.68269579527973,8,1,5
"b5",0,3.72759372031494,8,1,5
"b6",0,5.17947467923121,8,1,5
"b7",0,7.19685673001152,8,1,5
"b8",0,10,8,1,5
"b1",18656746743514.8,1,8,1,6
"b2",2206142124.26067,1.38949549437314,8,1,6
"b3",20.0832365221285,1.93069772888325,8,1,6
"b4",0,2.68269579527973,8,1,6
"b5",0,3.72759372031494,8,1,6
"b6",0,5.17947467923121,8,1,6
"b7",0,7.19685673001152,8,1,6
"b8",0,10,8,1,6
"b1",18656779074116.5,1,8,1,7
"b2",2173339775.56399,1.38949549437314,8,1,7
"b3",17.1213752007513,1.93069772888325,8,1,7
"b4",0,2.68269579527973,8,1,7
"b5",0,3.72759372031494,8,1,7
"b6",0,5.17947467923121,8,1,7
"b7",0,7.19685673001152,8,1,7
"b8",0,10,8,1,7
"b1",18656657390350.6,1,8,1,8
"b2",2296798920.98178,1.38949549437314,8,1,8
"b3",15.0626277530508,1.93069772888325,8,1,8
"b4",0,2.68269579527973,8,1,8
"b5",0,3.72759372031494,8,1,8
"b6",0,5.17947467923121,8,1,8
"b7",0,7.19685673001152,8,1,8
"b8",0,10,8,1,8
"b1",18656893988919,1,8,1,9
"b2",2056747271.142,1.38949549437314,8,1,9
"b3",11.0122876700218,1.93069772888325,8,1,9
"b4",0,2.68269579527973,8,1,9
"b5",0,3.72759372031494,8,1,9
"b6",0,5.17947467923121,8,1,9
"b7",0,7.19685673001152,8,1,9
"b8",0,10,8,1,9
"b1",18655987004400,1,8,1,10
"b2",2976969114.52772,1.38949549437314,8,1,10
"b3",19.0855764197403,1.93069772888325,8,1,10
"b4",0,2.68269579527973,8,1,10
"b5",0,3.72759372031494,8,1,10
"b6",0,5.17947467923121,8,1,10
"b7",0,7.19685673001152,8,1,10
"b8",0,10,8,1,10
"b1",17016194623166.8,1,8,2,1
"b2",1092263772695.97,1.38949549437314,8,2,1
"b3",25046274.6547717,1.93069772888325,8,2,1
"b4",0,2.68269579527973,8,2,1
"b5",0,3.72759372031494,8,2,1
"b6",0,5.17947467923121,8,2,1
"b7",0,7.19685673001152,8,2,1
"b8",0,10,8,2,1
"b1",16774833506278.5,1,8,2,2
"b2",1340043962417.87,1.38949549437314,8,2,2
"b3",29711102.346686,1.93069772888325,8,2,2
"b4",0,2.68269579527973,8,2,2
"b5",0,3.72759372031494,8,2,2
"b6",0,5.17947467923121,8,2,2
"b7",0,7.19685673001152,8,2,2
"b8",0,10,8,2,2
"b1",17024621512241.5,1,8,2,3
"b2",1083602042678.34,1.38949549437314,8,2,3
"b3",27476442.4438231,1.93069772888325,8,2,3
"b4",0,2.68269579527973,8,2,3
"b5",0,3.72759372031494,8,2,3
"b6",0,5.17947467923121,8,2,3
"b7",0,7.19685673001152,8,2,3
"b8",0,10,8,2,3
"b1",17140804595743.2,1,8,2,4
"b2",964140779270.101,1.38949549437314,8,2,4
"b3",36202226.8667758,1.93069772888325,8,2,4
"b4",0,2.68269579527973,8,2,4
"b5",0,3.72759372031494,8,2,4
"b6",0,5.17947467923121,8,2,4
"b7",0,7.19685673001152,8,2,4
"b8",0,10,8,2,4
"b1",16923130439001.5,1,8,2,5
"b2",1187857491707.51,1.38949549437314,8,2,5
"b3",24377534.1827022,1.93069772888325,8,2,5
"b4",1,2.68269579527973,8,2,5
"b5",0,3.72759372031494,8,2,5
"b6",0,5.17947467923121,8,2,5
"b7",0,7.19685673001152,8,2,5
"b8",0,10,8,2,5
"b1",17069526603309.6,1,8,2,6
"b2",1037452672328.19,1.38949549437314,8,2,6
"b3",22260403.6991574,1.93069772888325,8,2,6
"b4",1,2.68269579527973,8,2,6
"b5",0,3.72759372031494,8,2,6
"b6",0,5.17947467923121,8,2,6
"b7",0,7.19685673001152,8,2,6
"b8",0,10,8,2,6
"b1",17079070643374.6,1,8,2,7
"b2",1027635044153.55,1.38949549437314,8,2,7
"b3",28251053.5158153,1.93069772888325,8,2,7
"b4",0,2.68269579527973,8,2,7
"b5",0,3.72759372031494,8,2,7
"b6",0,5.17947467923121,8,2,7
"b7",0,7.19685673001152,8,2,7
"b8",0,10,8,2,7
"b1",17061156041765.9,1,8,2,8
"b2",1046055364100.77,1.38949549437314,8,2,8
"b3",24431443.1042035,1.93069772888325,8,2,8
"b4",1,2.68269579527973,8,2,8
"b5",0,3.72759372031494,8,2,8
"b6",0,5.17947467923121,8,2,8
"b7",0,7.19685673001152,8,2,8
"b8",0,10,8,2,8
"b1",16836969822128.4,1,8,2,9
"b2",1276301810128.71,1.38949549437314,8,2,9
"b3",22433727.6427864,1.93069772888325,8,2,9
"b4",0,2.68269579527973,8,2,9
"b5",0,3.72759372031494,8,2,9
"b6",0,5.17947467923121,8,2,9
"b7",0,7.19685673001152,8,2,9
"b8",0,10,8,2,9
"b1",17009427848619.4,1,8,2,10
"b2",1099224090519.64,1.38949549437314,8,2,10
"b3",17486049.1770182,1.93069772888325,8,2,10
"b4",0,2.68269579527973,8,2,10
"b5",0,3.72759372031494,8,2,10
"b6",0,5.17947467923121,8,2,10
"b7",0,7.19685673001152,8,2,10
"b8",0,10,8,2,10
"b1",12022607884173.3,1,8,3,1
"b2",5654462400396.86,1.38949549437314,8,3,1
"b3",2737990885.99687,1.93069772888325,8,3,1
"b4",37.1968510459282,2.68269579527973,8,3,1
"b5",0,3.72759372031494,8,3,1
"b6",0,5.17947467923121,8,3,1
"b7",0,7.19685673001152,8,3,1
"b8",0,10,8,3,1
"b1",11996735352321.6,1,8,3,2
"b2",5681069862037.2,1.38949549437314,8,3,2
"b3",2668915513.55401,1.93069772888325,8,3,2
"b4",42.2939113035988,2.68269579527973,8,3,2
"b5",0,3.72759372031494,8,3,2
"b6",0,5.17947467923121,8,3,2
"b7",0,7.19685673001152,8,3,2
"b8",0,10,8,3,2
"b1",12121385610912.1,1,8,3,3
"b2",5553564513831.78,1.38949549437314,8,3,3
"b3",2274979832.4009,1.93069772888325,8,3,3
"b4",39.0946885471418,2.68269579527973,8,3,3
"b5",0,3.72759372031494,8,3,3
"b6",0,5.17947467923121,8,3,3
"b7",0,7.19685673001152,8,3,3
"b8",0,10,8,3,3
"b1",12020931236415.6,1,8,3,4
"b2",5656663337259.74,1.38949549437314,8,3,4
"b3",2231675274.80256,1.93069772888325,8,3,4
"b4",30.0726878957242,2.68269579527973,8,3,4
"b5",0,3.72759372031494,8,3,4
"b6",0,5.17947467923121,8,3,4
"b7",0,7.19685673001152,8,3,4
"b8",0,10,8,3,4
"b1",11791150008685.4,1,8,3,5
"b2",5891754188014.45,1.38949549437314,8,3,5
"b3",2882380179.68655,1.93069772888325,8,3,5
"b4",44.2187827737423,2.68269579527973,8,3,5
"b5",0,3.72759372031494,8,3,5
"b6",0,5.17947467923121,8,3,5
"b7",0,7.19685673001152,8,3,5
"b8",0,10,8,3,5
"b1",11909769483769.8,1,8,3,6
"b2",5770097514663.29,1.38949549437314,8,3,6
"b3",2863168245.71699,1.93069772888325,8,3,6
"b4",33.1824989291634,2.68269579527973,8,3,6
"b5",0,3.72759372031494,8,3,6
"b6",0,5.17947467923121,8,3,6
"b7",0,7.19685673001152,8,3,6
"b8",0,10,8,3,6
"b1",12001378208864.3,1,8,3,7
"b2",5676364017311.85,1.38949549437314,8,3,7
"b3",2608813713.23441,1.93069772888325,8,3,7
"b4",41.2947965672454,2.68269579527973,8,3,7
"b5",0,3.72759372031494,8,3,7
"b6",0,5.17947467923121,8,3,7
"b7",0,7.19685673001152,8,3,7
"b8",0,10,8,3,7
"b1",12036544459136.5,1,8,3,8
"b2",5640244214117.75,1.38949549437314,8,3,8
"b3",2654680059.65381,1.93069772888325,8,3,8
"b4",35.2277854566339,2.68269579527973,8,3,8
"b5",0,3.72759372031494,8,3,8
"b6",0,5.17947467923121,8,3,8
"b7",0,7.19685673001152,8,3,8
"b8",0,10,8,3,8
"b1",11833814898897.7,1,8,3,9
"b2",5846559561557.61,1.38949549437314,8,3,9
"b3",4389774057.82409,1.93069772888325,8,3,9
"b4",77.4139024526808,2.68269579527973,8,3,9
"b5",0,3.72759372031494,8,3,9
"b6",0,5.17947467923121,8,3,9
"b7",0,7.19685673001152,8,3,9
"b8",0,10,8,3,9
"b1",12031903692400.2,1,8,3,10
"b2",5643697984564.7,1.38949549437314,8,3,10
"b3",4030847884.07909,1.93069772888325,8,3,10
"b4",58.2769711761926,2.68269579527973,8,3,10
"b5",0,3.72759372031494,8,3,10
"b6",0,5.17947467923121,8,3,10
"b7",0,7.19685673001152,8,3,10
"b8",0,10,8,3,10
"b1",8992639663698.37,1,8,4,1
"b2",7745247092724.95,1.38949549437314,8,4,1
"b3",546201140761.308,1.93069772888325,8,4,1
"b4",17496964.034,2.68269579527973,8,4,1
"b5",0,3.72759372031494,8,4,1
"b6",0,5.17947467923121,8,4,1
"b7",0,7.19685673001152,8,4,1
"b8",0,10,8,4,1
"b1",8708830811921.54,1,8,4,2
"b2",8213285219015.06,1.38949549437314,8,4,2
"b3",361877820245.292,1.93069772888325,8,4,2
"b4",6061260.78903977,2.68269579527973,8,4,2
"b5",0,3.72759372031494,8,4,2
"b6",0,5.17947467923121,8,4,2
"b7",0,7.19685673001152,8,4,2
"b8",0,10,8,4,2
"b1",8670643284768.15,1,8,4,3
"b2",8305536230806.93,1.38949549437314,8,4,3
"b3",305875902762.863,1.93069772888325,8,4,3
"b4",7802629.68249112,2.68269579527973,8,4,3
"b5",0,3.72759372031494,8,4,3
"b6",0,5.17947467923121,8,4,3
"b7",0,7.19685673001152,8,4,3
"b8",0,10,8,4,3
"b1",8611390805022.86,1,8,4,4
"b2",8229458549460.17,1.38949549437314,8,4,4
"b3",451323128517.16,1.93069772888325,8,4,4
"b4",10292928.5002181,2.68269579527973,8,4,4
"b5",0,3.72759372031494,8,4,4
"b6",0,5.17947467923121,8,4,4
"b7",0,7.19685673001152,8,4,4
"b8",0,10,8,4,4
"b1",8891130796749.72,1,8,4,5
"b2",8137067507363.41,1.38949549437314,8,4,5
"b3",242534656105.65,1.93069772888325,8,4,5
"b4",4529462.74744108,2.68269579527973,8,4,5
"b5",0,3.72759372031494,8,4,5
"b6",0,5.17947467923121,8,4,5
"b7",0,7.19685673001152,8,4,5
"b8",0,10,8,4,5
"b1",8811263155312.01,1,8,4,6
"b2",8172587571792.12,1.38949549437314,8,4,6
"b3",292653680482.362,1.93069772888325,8,4,6
"b4",4688957.55494097,2.68269579527973,8,4,6
"b5",0,3.72759372031494,8,4,6
"b6",0,5.17947467923121,8,4,6
"b7",0,7.19685673001152,8,4,6
"b8",0,10,8,4,6
"b1",8751401507342.67,1,8,4,7
"b2",8204231589090.83,1.38949549437314,8,4,7
"b3",324794315693.378,1.93069772888325,8,4,7
"b4",5850607.3775841,2.68269579527973,8,4,7
"b5",0,3.72759372031494,8,4,7
"b6",0,5.17947467923121,8,4,7
"b7",0,7.19685673001152,8,4,7
"b8",0,10,8,4,7
"b1",8854562101965.07,1,8,4,8
"b2",8078280052142.79,1.38949549437314,8,4,8
"b3",345263391692.34,1.93069772888325,8,4,8
"b4",7316570.3446148,2.68269579527973,8,4,8
"b5",0,3.72759372031494,8,4,8
"b6",0,5.17947467923121,8,4,8
"b7",0,7.19685673001152,8,4,8
"b8",0,10,8,4,8
"b1",8829896566231.13,1,8,4,9
"b2",8192447563298.22,1.38949549437314,8,4,9
"b3",250993507074.638,1.93069772888325,8,4,9
"b4",5106643.10501896,2.68269579527973,8,4,9
"b5",0,3.72759372031494,8,4,9
"b6",0,5.17947467923121,8,4,9
"b7",0,7.19685673001152,8,4,9
"b8",0,10,8,4,9
"b1",8792116408968.1,1,8,4,10
"b2",8222580777849.62,1.38949549437314,8,4,10
"b3",260510220319.57,1.93069772888325,8,4,10
"b4",4510866.76123659,2.68269579527973,8,4,10
"b5",0,3.72759372031494,8,4,10
"b6",0,5.17947467923121,8,4,10
"b7",0,7.19685673001152,8,4,10
"b8",0,10,8,4,10
"b1",6713136888774.53,1,8,5,1
"b2",7768691865653.8,1.38949549437314,8,5,1
"b3",2488834902451.47,1.93069772888325,8,5,1
"b4",277069519.014646,2.68269579527973,8,5,1
"b5",3.00596816955736,3.72759372031494,8,5,1
"b6",0,5.17947467923121,8,5,1
"b7",0,7.19685673001152,8,5,1
"b8",0,10,8,5,1
"b1",6847408637160.79,1,8,5,2
"b2",7996955153295.2,1.38949549437314,8,5,2
"b3",2106224217828.97,1.93069772888325,8,5,2
"b4",225350975.987508,2.68269579527973,8,5,2
"b5",5.0712417302703,3.72759372031494,8,5,2
"b6",0,5.17947467923121,8,5,2
"b7",0,7.19685673001152,8,5,2
"b8",0,10,8,5,2
"b1",6898238295864.76,1,8,5,3
"b2",7989607400728.91,1.38949549437314,8,5,3
"b3",2058718236457.55,1.93069772888325,8,5,3
"b4",213718202.325164,2.68269579527973,8,5,3
"b5",5.05705923846091,3.72759372031494,8,5,3
"b6",0,5.17947467923121,8,5,3
"b7",0,7.19685673001152,8,5,3
"b8",0,10,8,5,3
"b1",6844407976117.66,1,8,5,4
"b2",7954961952088.25,1.38949549437314,8,5,4
"b3",2153050453406.38,1.93069772888325,8,5,4
"b4",323644719.569752,2.68269579527973,8,5,4
"b5",8.01942850660816,3.72759372031494,8,5,4
"b6",0,5.17947467923121,8,5,4
"b7",0,7.19685673001152,8,5,4
"b8",0,10,8,5,4
"b1",6791001977585,1,8,5,5
"b2",7801368370817.61,1.38949549437314,8,5,5
"b3",2370545295922.18,1.93069772888325,8,5,5
"b4",306383403.959648,2.68269579527973,8,5,5
"b5",9.09005434799227,3.72759372031494,8,5,5
"b6",0,5.17947467923121,8,5,5
"b7",0,7.19685673001152,8,5,5
"b8",0,10,8,5,5
"b1",6893604528998.39,1,8,5,6
"b2",7664270368607.46,1.38949549437314,8,5,6
"b3",2401580442010.49,1.93069772888325,8,5,6
"b4",479445333.053258,2.68269579527973,8,5,6
"b5",9.0219599196327,3.72759372031494,8,5,6
"b6",0,5.17947467923121,8,5,6
"b7",0,7.19685673001152,8,5,6
"b8",0,10,8,5,6
"b1",6926304133505.79,1,8,5,7
"b2",7668136957922.22,1.38949549437314,8,5,7
"b3",2362297128920.86,1.93069772888325,8,5,7
"b4",308367843.899206,2.68269579527973,8,5,7
"b5",3,3.72759372031494,8,5,7
"b6",0,5.17947467923121,8,5,7
"b7",0,7.19685673001152,8,5,7
"b8",0,10,8,5,7
"b1",6847107131534.91,1,8,5,8
"b2",7656545652563.34,1.38949549437314,8,5,8
"b3",2460197300290.69,1.93069772888325,8,5,8
"b4",229227368.082414,2.68269579527973,8,5,8
"b5",5.02305170594715,3.72759372031494,8,5,8
"b6",0,5.17947467923121,8,5,8
"b7",0,7.19685673001152,8,5,8
"b8",0,10,8,5,8
"b1",6730435205769.23,1,8,5,9
"b2",7990178291931.78,1.38949549437314,8,5,9
"b3",2239945335787.73,1.93069772888325,8,5,9
"b4",429512843.179562,2.68269579527973,8,5,9
"b5",8.06616462598416,3.72759372031494,8,5,9
"b6",0,5.17947467923121,8,5,9
"b7",0,7.19685673001152,8,5,9
"b8",0,10,8,5,9
"b1",6824182810980.11,1,8,5,10
"b2",7709380526264.9,1.38949549437314,8,5,10
"b3",2430147490375.94,1.93069772888325,8,5,10
"b4",264875429.753184,2.68269579527973,8,5,10
"b5",5.01234959569398,3.72759372031494,8,5,10
"b6",0,5.17947467923121,8,5,10
"b7",0,7.19685673001152,8,5,10
"b8",0,10,8,5,10
"b1",5578238493541.97,1,8,6,1
"b2",6758195143734.01,1.38949549437314,8,6,1
"b3",4297055848299.6,1.93069772888325,8,6,1
"b4",9509543304.10444,2.68269579527973,8,6,1
"b5",166.326922882202,3.72759372031494,8,6,1
"b6",0,5.17947467923121,8,6,1
"b7",0,7.19685673001152,8,6,1
"b8",0,10,8,6,1
"b1",5625988130250.38,1,8,6,2
"b2",6439553226841.96,1.38949549437314,8,6,2
"b3",4574336447143.07,1.93069772888325,8,6,2
"b4",11516565483.869,2.68269579527973,8,6,2
"b5",3777.29324610769,3.72759372031494,8,6,2
"b6",0,5.17947467923121,8,6,2
"b7",0,7.19685673001152,8,6,2
"b8",0,10,8,6,2
"b1",5608905490298.09,1,8,6,3
"b2",6721804735572.78,1.38949549437314,8,6,3
"b3",4301642295929.33,1.93069772888325,8,6,3
"b4",9128983564.20477,2.68269579527973,8,6,3
"b5",40259.3852948887,3.72759372031494,8,6,3
"b6",0,5.17947467923121,8,6,3
"b7",0,7.19685673001152,8,6,3
"b8",0,10,8,6,3
"b1",5447299566906.8,1,8,6,4
"b2",6371689331510.06,1.38949549437314,8,6,4
"b3",4838722779435.83,1.93069772888325,8,6,4
"b4",13655090755.0941,2.68269579527973,8,6,4
"b5",20672.4046191868,3.72759372031494,8,6,4
"b6",0,5.17947467923121,8,6,4
"b7",0,7.19685673001152,8,6,4
"b8",0,10,8,6,4
"b1",5562948346174.4,1,8,6,5
"b2",6724906330805.87,1.38949549437314,8,6,5
"b3",4350951031580.93,1.93069772888325,8,6,5
"b4",6759681228.5933,2.68269579527973,8,6,5
"b5",19074.8186998856,3.72759372031494,8,6,5
"b6",0,5.17947467923121,8,6,5
"b7",0,7.19685673001152,8,6,5
"b8",0,10,8,6,5
"b1",5549672814584.65,1,8,6,6
"b2",6254594399197,1.38949549437314,8,6,6
"b3",4845181439022.68,1.93069772888325,8,6,6
"b4",17092203761.5434,2.68269579527973,8,6,6
"b5",46497.4545865761,3.72759372031494,8,6,6
"b6",0,5.17947467923121,8,6,6
"b7",0,7.19685673001152,8,6,6
"b8",0,10,8,6,6
"b1",5444593186831.04,1,8,6,7
"b2",6959570741776.14,1.38949549437314,8,6,7
